Environment Size,Obstacle %,Normalized Steps,Success Rate,Avg Collisions,Truncated Runs (%)
25,0.1,1.4993200000000002,33.4,0.0,65.9
25,0.5,1.541,24.7,0.046,75.0
25,1.0,1.57088,24.6,0.0,75.0
25,2.0,1.6332,15.7,0.07,84.3
25,5.0,1.73076,8.5,0.261,91.0
50,0.1,1.6103999999999998,16.2,0.0,83.7
50,0.5,1.6431600000000002,14.000000000000002,0.0,85.9
50,1.0,1.69248,11.700000000000001,0.036,88.2
50,2.0,1.75842,5.4,0.146,94.6
50,5.0,1.8208199999999999,0.6,0.491,99.4
100,0.1,1.63297,15.0,0.0,84.89999999999999
100,0.5,1.69625,10.6,0.0,89.4
100,1.0,1.7392100000000001,6.5,0.087,93.4
100,2.0,1.8080900000000002,1.5,0.675,98.5
100,5.0,1.8176799999999997,0.0,1.386,100.0
150,0.1,1.6698733333333333,11.899999999999999,0.0,88.0
150,0.5,1.7273733333333334,8.4,0.109,91.60000000000001
150,1.0,1.7842733333333336,3.3000000000000003,0.0,96.7
150,2.0,1.7972600000000003,0.2,1.262,99.8
150,5.0,1.8121333333333332,0.0,4.278,100.0
200,0.1,1.70747,10.8,0.0,89.2
200,0.5,1.72307,5.4,0.0,94.6
200,1.0,1.76621,1.9,0.729,98.1
200,2.0,1.8352950000000001,0.1,0.719,99.9
200,5.0,1.817485,0.0,2.532,100.0
