Environment Size,Intruder %,Avg Collisions per Step,Avg Deviation,Avg of Max Deviations
25,0.1,0.0,6.8429115958572915,17.78348474485526
25,0.5,0.558878,7.310693161834357,18.16435742234716
25,1.0,0.735956,7.551046122923505,18.101741356263354
25,2.0,0.878776,8.870441982498374,17.80617580250745
25,5.0,0.978402,10.90636140565366,18.216871239630024
50,0.1,0.147376,14.571347442381159,35.22384361187535
50,0.5,0.51235,16.821248340118043,34.93667580843874
50,1.0,0.702862,16.468692684065513,34.60067578178876
50,2.0,0.847812,19.018979246234828,34.3846673356507
50,5.0,0.945466,20.824462267088574,35.24582474288286
100,0.1,0.162588,28.469851017708493,70.55973648431973
100,0.5,0.463812,30.854580979252326,69.18133107471381
100,1.0,0.599626,32.56266843829668,67.56661735260221
100,2.0,0.717394,35.961061188632506,69.0787507017261
100,5.0,0.841066,37.40769205480468,68.51683698741594
150,0.1,0.157856,39.727790452040715,105.10211323188373
150,0.5,0.441008,45.968807325819114,100.6854637971438
150,1.0,0.546284,50.636589280757406,102.39894500666357
150,2.0,0.63558,53.7612495269522,103.60732458912445
150,5.0,0.744688,54.52644069027328,102.93300158604737
200,0.1,0.15047,53.01466829347341,134.95904241343862
200,0.5,0.443236,61.77467541243734,131.77052245316824
200,1.0,0.551458,68.53206865799753,134.1187852200339
200,2.0,0.603658,69.92771027824486,135.407403036983
200,5.0,0.697316,74.16612082786936,136.1543307127243
